sub_idx,Cond,Order,Group,Trial_idx,Outcome,Choice_t,Correct,winstay_t1,winstay_t2,winstay_t3,winstay_t4,loseshift_t1,loseshift_t2,loseshift_t3,loseshift_t4,RT
1,2,1,1,75,1,0,1,-1,0,-1,0,0,-1,0,-1,0.825985673185187
1,2,1,1,76,1,0,1,-1,-1,0,-1,0,0,-1,0,0.540298557461028
1,2,1,1,77,0,1,0,-1,-1,-1,0,0,0,0,-1,0.686409000080403
1,2,1,1,78,0,1,0,0,-1,-1,-1,-1,0,0,0,0.477072049427989
1,2,1,1,79,1,0,1,0,0,-1,-1,-1,-1,0,0,0.592150665298504
1,2,1,1,80,1,0,1,-1,0,0,-1,0,-1,-1,0,0.807211566376282
1,2,1,1,81,1,1,0,-1,-1,0,0,0,0,-1,-1,0.745070526357722
1,2,1,1,82,1,0,1,1,-1,-1,0,-0,0,0,-1,0.552605620789564
1,2,1,1,83,0,1,0,-1,1,-1,-1,0,-0,0,0,0.935306744212539
1,2,1,1,84,1,0,1,0,-1,1,-1,-1,0,-0,0,0.667789545351297
1,2,1,1,85,0,1,0,-1,0,-1,1,0,-1,0,-0,0.769487524393298
1,2,1,1,86,0,1,0,0,-1,0,-1,-1,0,-1,0,0.492411657266075
1,2,1,1,87,1,0,1,0,0,-1,0,-1,-1,0,-1,0.570947141320175
1,2,1,1,88,1,0,1,-1,0,0,-1,0,-1,-1,0,0.54850854195638
1,2,1,1,89,0,0,1,-1,-1,0,0,0,0,-1,-1,0.682584056218275
1,2,1,1,90,0,1,0,-0,-1,-1,0,1,0,0,-1,0.418360074382235
1,2,1,1,91,1,1,1,0,-0,-1,-1,-1,1,0,0,0.529270652333707
1,2,1,1,92,0,1,1,1,0,-0,-1,-0,-1,1,0,0.641238055696704
1,2,1,1,93,0,0,0,0,1,0,-0,-1,-0,-1,1,0.35360015404467
1,2,1,1,94,1,1,1,-0,0,1,0,1,-1,-0,-1,0.870260265852266
1,2,1,1,95,0,0,0,1,-0,0,1,-0,1,-1,-0,0.579617607864748
1,2,1,1,96,1,1,1,-0,1,-0,0,1,-0,1,-1,0.588054360698152
1,2,1,1,97,0,1,1,1,-0,1,-0,-0,1,-0,1,0.528667444797975
1,2,1,1,98,0,0,0,0,1,-0,1,-1,-0,1,-0,0.480184492621902
1,2,1,1,99,0,0,0,-0,0,1,-0,1,-1,-0,1,0.524505790205239
1,2,1,1,100,0,0,0,-0,-0,0,1,1,1,-1,-0,0.588211997433973
1,2,1,1,101,1,1,1,-0,-0,-0,0,1,1,1,-1,0.52616827115844
1,2,1,1,102,1,0,0,1,-0,-0,-0,-0,1,1,1,1.00909626684097
1,2,1,1,103,0,1,1,-1,1,-0,-0,0,-0,1,1,1.00629697190425
1,2,1,1,104,0,1,1,0,-1,1,-0,-1,0,-0,1,0.428700349858445
1,2,1,1,105,1,1,1,0,0,-1,1,-1,-1,0,-0,0.628576522735784
1,2,1,1,106,0,1,0,1,0,0,-1,-0,-1,-1,0,0.693440528095834
1,2,1,1,107,0,1,0,0,1,0,0,-1,-0,-1,-1,0.67445292784987
1,2,1,1,108,0,1,0,0,0,1,0,-1,-1,-0,-1,0.703387651705725
1,2,1,1,109,1,0,1,0,0,0,1,-1,-1,-1,-0,0.944461170404793
1,2,1,1,110,0,0,0,-1,0,0,0,0,-1,-1,-1,0
1,2,1,1,111,0,1,0,NaN,-1,0,0,NaN,0,-1,-1,0.614992248315957
1,2,1,1,112,1,0,1,0,NaN,-1,0,-1,NaN,0,-1,0.392571654124822
1,2,1,1,113,0,1,0,-1,0,NaN,-1,0,-1,NaN,0,1.05626730345102
1,2,1,1,114,1,1,0,0,-1,0,NaN,-1,0,-1,NaN,0.393509597880438
1,2,1,1,115,1,1,0,1,0,-1,0,-0,-1,0,-1,0.846987961465402
1,2,1,1,116,0,1,0,1,1,0,-1,-0,-0,-1,0,0.744249722652512
1,2,1,1,117,0,1,0,0,1,1,0,-1,-0,-0,-1,0.503079809800056
1,2,1,1,118,1,0,1,0,0,1,1,-1,-1,-0,-0,0.488084288454047
1,2,1,1,119,0,1,0,-1,0,0,1,0,-1,-1,-0,0.691090279819946
1,2,1,1,120,1,1,0,0,-1,0,0,-1,0,-1,-1,0.539705229162337
1,2,1,1,121,1,1,0,1,0,-1,0,-0,-1,0,-1,0.999832840903309
1,2,1,1,122,1,0,1,1,1,0,-1,-0,-0,-1,0,0.678979605967015
1,2,1,1,123,0,1,0,-1,1,1,0,0,-0,-0,-1,1.4200943070332
1,2,1,1,124,0,1,0,0,-1,1,1,-1,0,-0,-0,0.662299879704733
1,2,1,1,125,1,1,0,0,0,-1,1,-1,-1,0,-0,0.704240308557019
1,2,1,1,126,1,1,1,1,0,0,-1,-0,-1,-1,0,0.829672961665892
1,2,1,1,127,0,1,1,1,1,0,0,-0,-0,-1,-1,0.619413467707545
1,2,1,1,128,0,1,1,0,1,1,0,-1,-0,-0,-1,0.664520981474652
1,2,1,1,129,1,1,1,0,0,1,1,-1,-1,-0,-0,0.562708063114769
1,2,1,1,130,1,1,1,1,0,0,1,-0,-1,-1,-0,0.729341768471841
1,2,1,1,131,1,1,1,1,1,0,0,-0,-0,-1,-1,0.71835074649789
1,2,1,1,132,1,1,1,1,1,1,0,-0,-0,-0,-1,0.526391363478069
1,2,1,1,133,1,1,1,1,1,1,1,-0,-0,-0,-0,0.823083082161702
1,2,1,1,134,1,1,1,1,1,1,1,-0,-0,-0,-0,0.540897536957345
1,2,1,1,135,1,1,1,1,1,1,1,-0,-0,-0,-0,0.802676422823879
1,2,1,1,136,1,1,1,1,1,1,1,-0,-0,-0,-0,0.758927787839184
1,2,1,1,137,0,1,1,1,1,1,1,-0,-0,-0,-0,0.671110633086755
1,2,1,1,138,0,0,0,0,1,1,1,-1,-0,-0,-0,0.676860025930637
1,2,1,1,139,0,0,0,-0,0,1,1,1,-1,-0,-0,0.672121340355261
1,2,1,1,140,0,0,0,-0,-0,0,1,1,1,-1,-0,0.480218679159407
1,2,1,1,141,1,1,1,-0,-0,-0,0,1,1,1,-1,0.66304480759436
1,2,1,1,142,0,1,1,1,-0,-0,-0,-0,1,1,1,0.977964049134243
1,2,1,1,143,1,1,1,0,1,-0,-0,-1,-0,1,1,0.916810331346369
1,2,1,1,144,1,1,1,1,0,1,-0,-0,-1,-0,1,0.730261700371557
1,2,1,1,145,1,1,1,1,1,0,1,-0,-0,-1,-0,0.833923028830668
1,2,1,1,146,0,1,1,1,1,1,0,-0,-0,-0,-1,0.921883264609278
1,2,1,1,147,1,1,1,0,1,1,1,-1,-0,-0,-0,0.835196041622112
1,2,1,1,148,1,0,0,1,0,1,1,-0,-1,-0,-0,1.06608554086051
1,2,1,1,149,0,0,0,-1,1,0,1,0,-0,-1,-0,0
1,2,1,1,150,0,0,0,NaN,-1,1,0,NaN,0,-0,-1,0.603920713818297
1,2,1,1,151,1,1,1,-0,NaN,-1,1,1,NaN,0,-0,0.585089855445403
1,2,1,1,152,1,1,1,1,-0,NaN,-1,-0,1,NaN,0,0.691194422650369
1,2,1,1,153,1,1,1,1,1,-0,NaN,-0,-0,1,NaN,0.77040727317717
1,2,1,1,154,1,1,1,1,1,1,-0,-0,-0,-0,1,0.453869400596432
1,2,1,1,155,1,1,1,1,1,1,1,-0,-0,-0,-0,0.524407230739598
1,2,1,1,156,0,1,1,1,1,1,1,-0,-0,-0,-0,1.06261077343106
1,2,1,1,157,1,1,1,0,1,1,1,-1,-0,-0,-0,0.49007891961628
1,2,1,1,158,0,1,1,1,0,1,1,-0,-1,-0,-0,0.580665969511756
1,2,1,1,159,0,0,0,0,1,0,1,-1,-0,-1,-0,0.438533744452798
1,2,1,1,160,0,0,0,-0,0,1,0,1,-1,-0,-1,0.611622847051422
